damnif,-1.0
dar,1.0
debil,-3.0
debilit,-2.0
debiluch,-3.0
decadent,-1.0
decepcion,-2.0
decis,1.0
decision,1.0
decl,-2.0
declin,-1.0
decliv,2.0
decor,1.0
dedic,3.0
defeccion,-1.0
defect,-1.0
defectu,-2.0
defend,2.0
defens,2.0
defensor,2.0
deficient,-2.0
defin,1.0
deflacion,-2.0
deform,-3.0
defraud,-3.0
deg,-2.0
degr,-2.0
dej,-2.0
dejadez,-1.0
del,-1.0
deleit,3.0
delg,-2.0
delic,3.0
delici,3.0
delincuent,-3.0
delinqu,-3.0
deliqui,-3.0
delit,-2.0
demand,-2.0
demenci,-1.0
dement,-1.0
democraci,2.0
demol,-3.0
demoni,-1.0
demoniac,-1.0
demostr,2.0
deneg,-2.0
denod,-3.0
denost,-3.0
denuest,-3.0
depend,-3.0
deplor,-2.0
deport,0.0
deposicion,-2.0
depositari,2.0
depr,-4.0
deprav,-3.0
depravation,-2.0
depreci,2.0
depresion,-4.0
deprevis,-4.0
deprim,-4.0
depriment,-4.0
derech,-4.0
derret,2.0
derrot,-1.0
des,2.0
desabr,-3.0
desacert,-2.0
desafi,3.0
desafil,-2.0
desafortun,-3.0
desagr,-3.0
desagradec,-3.0
desagravi,-2.0
desahog,2.0
desalent,-1.0
desalient,-1.0
desam,-3.0
desamor,-3.0
desamp,-2.0
desanim,-1.0
desaparec,-2.0
desaprob,-1.0
desarm,-3.0
desarregl,-3.0
desarroll,3.0
desasoseg,-2.0
desasosieg,-2.0
desastr,-1.0
desat,3.0
desatend,-1.0
desatornill,-3.0
desazon,-3.0
desbarat,-3.0
desc,-3.0
descaec,-1.0
descans,3.0
descarg,-3.0
descart,-2.0
descerebr,-2.0
descompon,-1.0
descomposicion,-1.0
desconcert,-3.0
desconciert,-3.0
desconfi,-2.0
desconsol,-3.0
desconsuel,-2.0
descontent,-2.0
descorazon,-1.0
descu,-1.0
desdeñ,-1.0
desdich,-3.0
desech,-2.0
desembaraz,1.0
desempat,1.0
desencant,-2.0
desercion,-1.0
desert,-1.0
desertor,-1.0
desesp,-4.0
desesperanz,-4.0
desestim,-2.0
desfavor,-3.0
desfavorec,-1.0
desfigur,-4.0
desg,-2.0
desgarb,-3.0
desgarr,-4.0
desgobiern,-2.0
desgraci,-3.0
deshac,-1.0
deshonr,-3.0
desilusion,-2.0
desinform,-2.0
desl,2.0
deslealt,2.0
desliz,-2.0
desluc,-2.0
deslumbr,-2.0
deslustr,-2.0
desm,-2.0
desmañ,-2.0
desmay,-3.0
desment,-2.0
desnaturaliz,-2.0
desobedec,-4.0
desobedient,-1.0
desocup,-1.0
desord,-1.0
desorient,-2.0
desp,-3.0
despabil,2.0
despaci,2.0
despech,-4.0
despedaz,-3.0
despeg,2.0
despej,2.0
despens,2.0
desperdici,-3.0
desperfect,-2.0
despi,-1.0
despic,-3.0
despiert,2.0
despiqu,-2.0
desplom,-1.0
despoj,-1.0
despreci,-3.0
desquit,-2.0
destac,2.0
destin,-2.0
destitu,2.0
destornill,-3.0
destroz,-4.0
destru,-3.0
destruccion,-3.0
destruct,-1.0
destructor,-3.0
destruibl,-3.0
destruidor,-3.0
desuell,-3.0
desunion,-2.0
desus,-1.0
desvanec,-2.0
desvel,-2.0
desventaj,-3.0
desventur,-3.0
desvergüenz,-3.0
desvergonz,-3.0
det,-2.0
detall,2.0
deterior,-1.0
detest,-4.0
detriment,-3.0
deud,-3.0
deudor,2.0
devast,-3.0
devocion,3.0
devolv,-3.0
devot,3.0
diabl,-1.0
diablur,-1.0
diabol,-1.0
dich,3.0
dicharach,2.0
dient,3.0
diestr,2.0
dif,-1.0
dificil,-2.0
dificult,-1.0
dign,2.0
dignatari,2.0
dignific,2.0
dilat,-1.0
dimit,-2.0
dinam,1.0
dinamit,1.0
director,2.0
discordi,-1.0
discusion,-2.0
discut,-2.0
disension,-2.0
disfraz,-2.0
disfrut,3.0
disgust,-3.0
disip,-2.0
disminu,-2.0
disord,-2.0
disp,-3.0
disparat,-2.0
displicent,-3.0
disposicion,3.0
dispuest,-2.0
disput,-2.0
distr,-1.0
distraccion,-1.0
distribu,1.0
disturbi,-1.0
distut,-2.0
disu,-1.0
div,0.0
diversion,2.0
divert,2.0
dividend,1.0
divin,2.0
divis,2.0
dol,-3.0
dolient,-3.0
dolor,-4.0
domin,-3.0
don,3.0
dos,-2.0
dramaturg,1.0
drog,-3.0
drogu,-3.0
dron,-2.0
dubit,-2.0
dud,-2.0
duel,-3.0
duelist,-3.0
dulc,2.0
dulcement,2.0
dulzur,3.0
dur,-2.0
durabl,2.0
durez,-4.0
echad,-3.0
echar,-1.0
echars,-3.0
edif,2.0
edredon,1.0
educ,1.0
efect,2.0
eficaci,1.0
